size_bytes,duration_seconds,file_extension,filepath_anonymized,size_mb,duration_min
8872248,221.6934,mp3,Sonica/audio/rehearsal archive/20190330/song_05_v7.mp3,8.461235046386719,3.69489
17876748,446.8059,mp3,Sonica/audio/rehearsal archive/20190330/song_09_v3.mp3,17.048595428466797,7.446765
12236016,305.7876,mp3,Sonica/audio/rehearsal archive/20190330/song_11_v3.mp3,11.669174194335938,5.0964599999999995
11334000,283.2372,mp3,Sonica/audio/rehearsal archive/20190330/song_13_v2.mp3,10.808944702148438,4.720619999999999
1965144,49.0158,mp3,Sonica/audio/rehearsal archive/20190330/song_14_v0.mp3,1.8741073608398438,0.8169299999999999
1609706,40.128,mp3,Sonica/audio/rehearsal archive/20190330/song_14_v1.mp3,1.535135269165039,0.6688
4096,,mp3,Sonica/audio/rehearsal archive/20190330/other versions/._song_03_v4.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190330/other versions/._song_05_v4.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190330/other versions/._song_05_v5.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190330/other versions/._song_05_v6.mp3,0.00390625,
8413932,210.2355,mp3,Sonica/audio/rehearsal archive/20190330/other versions/song_03_v4.mp3,8.024150848388672,3.503925
15034980,375.7617,mp3,Sonica/audio/rehearsal archive/20190330/other versions/song_05_v4.mp3,14.33847427368164,6.262695
19370712,484.155,mp3,Sonica/audio/rehearsal archive/20190330/other versions/song_05_v5.mp3,18.473350524902344,8.06925
10935192,273.267,mp3,Sonica/audio/rehearsal archive/20190330/other versions/song_05_v6.mp3,10.428611755371094,4.55445
4096,,mp3,Sonica/audio/rehearsal archive/20190406/._ocean_Blue_v2.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190406/._song_03_v6.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190406/._song_04_v4-part_i (WIP).mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190406/._song_04_v4-part_ii (WIP).mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190406/._song_05_v8.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190406/._song_07_v3.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190406/._song_09_v4.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190406/._song_10_v2.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190406/._song_11_v4.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190406/._song_12_v1.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190406/._song_13_v3.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190406/._song_14_v2.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190406/._song_15_v1 (WIP).mp3,0.00390625,
7266030,181.5516,mp3,Sonica/audio/rehearsal archive/20190406/ocean_Blue_v2.mp3,6.929426193237305,3.02586
10114062,252.7524,mp3,Sonica/audio/rehearsal archive/20190406/song_03_v6.mp3,9.64552116394043,4.21254
3619182,90.3582,mp3,Sonica/audio/rehearsal archive/20190406/song_04_v4-part_i (WIP).mp3,3.4515209197998047,1.50597
10624866,265.4892,mp3,Sonica/audio/rehearsal archive/20190406/song_04_v4-part_ii (WIP).mp3,10.132661819458008,4.4248199999999995
13075890,326.7981,mp3,Sonica/audio/rehearsal archive/20190406/song_05_v8.mp3,12.47014045715332,5.446635
15295980,382.2867,mp3,Sonica/audio/rehearsal archive/20190406/song_07_v3.mp3,14.587383270263672,6.371445
14055162,351.2799,mp3,Sonica/audio/rehearsal archive/20190406/song_09_v4.mp3,13.404047012329102,5.854665
21480636,536.9031,mp3,Sonica/audio/rehearsal archive/20190406/song_10_v2.mp3,20.485530853271484,8.948385
8744707,218.5092,mp3,Sonica/audio/rehearsal archive/20190406/song_11_v4.mp3,8.33960247039795,3.64182
8977692,224.3295,mp3,Sonica/audio/rehearsal archive/20190406/song_12_v1.mp3,8.56179428100586,3.738825
10294674,257.2677,mp3,Sonica/audio/rehearsal archive/20190406/song_13_v3.mp3,9.817766189575195,4.287795
7934190,198.2556,mp3,Sonica/audio/rehearsal archive/20190406/song_14_v2.mp3,7.566633224487305,3.3042599999999998
3375042,84.2769,mp3,Sonica/audio/rehearsal archive/20190406/song_15_v1 (WIP).mp3,3.218690872192383,1.404615
4096,,mp3,Sonica/audio/rehearsal archive/20190413/._song_03_v7.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190413/._song_04_v5 (WIP).mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190413/._song_05_v9.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190413/._song_07_v4.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190413/._song_09_v5.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190413/._song_10_v3.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190413/._song_11_v5.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190413/._song_12_v2.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190413/._song_13_v4.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190413/._song_14_v3.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190413/._song_15_v2 (WIP).mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190413/._song_16_v1 (WIP).mp3,0.00390625,
10806780,270.0567,mp3,Sonica/audio/rehearsal archive/20190413/song_03_v7.mp3,10.306148529052734,4.500945
14811306,370.1502,mp3,Sonica/audio/rehearsal archive/20190413/song_04_v5 (WIP).mp3,14.125162124633789,6.169169999999999
11787096,294.5646,mp3,Sonica/audio/rehearsal archive/20190413/song_05_v9.mp3,11.241050720214844,4.909409999999999
10040484,250.8993,mp3,Sonica/audio/rehearsal archive/20190413/song_07_v4.mp3,9.57535171508789,4.181655
13461672,336.429,mp3,Sonica/audio/rehearsal archive/20190413/song_09_v5.mp3,12.838050842285156,5.60715
16373388,409.2219,mp3,Sonica/audio/rehearsal archive/20190413/song_10_v3.mp3,15.614879608154297,6.820365
8793948,219.7359,mp3,Sonica/audio/rehearsal archive/20190413/song_11_v5.mp3,8.38656234741211,3.6622649999999997
13544148,338.4909,mp3,Sonica/audio/rehearsal archive/20190413/song_12_v2.mp3,12.916706085205078,5.641515
